,Node1,Node2,Score
0,"Return(value=Name(id='i', ctx=Load()))","Name(id='i', ctx=Load())",0.15217391304347827
1,"Compare(left=BinOp(left=Name(id='q', ctx=Load()), op=Mod(), right=Num(n=2)), ops=[NotEq()], comparators=[Num(n=0)])","BinOp(left=Name(id='q', ctx=Load()), op=Mod(), right=Num(n=2))",0.15217391304347827
2,"Name(id='gen', ctx=Store())",Store(),0.14130434782608703
3,Index(value=Num(n=1)),Num(n=1),0.14130434782608703
4,"Call(func=Name(id='len', ctx=Load()), args=[Name(id='result', ctx=Load())], keywords=[], starargs=None, kwargs=None)","Name(id='len', ctx=Load())",0.14130434782608703
5,"Assign(targets=[Tuple(elts=[Name(id='A', ctx=Store()), Name(id='B', ctx=Store()), Name(id='K', ctx=Store())], ctx=Store())], value=Call(func=Name(id='map', ctx=Load()), args=[Name(id='int', ctx=Load()), Call(func=Attribute(value=Call(func=Name(id='raw_input', ctx=Load()), args=[], keywords=[], starargs=None, kwargs=None), attr='split', ctx=Load()), args=[], keywords=[], starargs=None, kwargs=None)], keywords=[], starargs=None, kwargs=None))","Tuple(elts=[Name(id='A', ctx=Store()), Name(id='B', ctx=Store()), Name(id='K', ctx=Store())], ctx=Store())",0.14130434782608703
6,"Name(id='result', ctx=Store())",Store(),0.14130434782608692
7,"Name(id='ss', ctx=Store())",Store(),0.14130434782608692
8,"Call(func=Attribute(value=Call(func=Name(id='raw_input', ctx=Load()), args=[], keywords=[], starargs=None, kwargs=None), attr='split', ctx=Load()), args=[Str(s='/')], keywords=[], starargs=None, kwargs=None)",Str(s='/'),0.14130434782608692
9,"Call(func=Name(id='xrange', ctx=Load()), args=[Name(id='b', ctx=Load())], keywords=[], starargs=None, kwargs=None)","Name(id='xrange', ctx=Load())",0.14130434782608692
10,"Compare(left=BinOp(left=Name(id='i', ctx=Load()), op=BitAnd(), right=Name(id='j', ctx=Load())), ops=[Lt()], comparators=[Name(id='K', ctx=Load())])","Name(id='K', ctx=Load())",0.14130434782608692
11,"Name(id='gcd', ctx=Load())",Load(),0.13043478260869568
12,"Name(id='case', ctx=Load())",Load(),0.13043478260869568
13,"Attribute(value=Name(id='words', ctx=Load()), attr='append', ctx=Load())","Name(id='words', ctx=Load())",0.13043478260869568
14,"Name(id='N', ctx=Load())",Load(),0.13043478260869568
15,"Name(id='g', ctx=Load())",Load(),0.13043478260869568
16,"BinOp(left=Name(id='n', ctx=Load()), op=Mod(), right=Num(n=2))","Name(id='n', ctx=Load())",0.13043478260869568
17,"Name(id='x', ctx=Store())",Store(),0.13043478260869568
18,"Tuple(elts=[Name(id='a', ctx=Store()), Name(id='b', ctx=Store())], ctx=Store())","Name(id='b', ctx=Store())",0.13043478260869568
19,"Name(id='possible', ctx=Store())",Store(),0.13043478260869568
20,"Index(value=Name(id='n', ctx=Load()))","Name(id='n', ctx=Load())",0.13043478260869568
21,"Call(func=Name(id='int', ctx=Load()), args=[Name(id='item', ctx=Load())], keywords=[], starargs=None, kwargs=None)","Name(id='item', ctx=Load())",0.13043478260869557
22,"Name(id='frac', ctx=Load())",Load(),0.13043478260869557
23,"Call(func=Name(id='len', ctx=Load()), args=[Name(id='s', ctx=Load())], keywords=[], starargs=None, kwargs=None)","Name(id='len', ctx=Load())",0.13043478260869557
24,Return(value=Str(s='impossible')),Str(s='impossible'),0.13043478260869557
25,"Name(id='line', ctx=Load())",Load(),0.11956521739130443
26,"AugAssign(target=Name(id='result', ctx=Store()), op=Add(), value=Num(n=1))",Num(n=1),0.11956521739130443
27,"Name(id='ans', ctx=Store())",Store(),0.11956521739130443
28,"Call(func=Name(id='solve', ctx=Load()), args=[Name(id='A', ctx=Load()), Name(id='B', ctx=Load()), Name(id='K', ctx=Load())], keywords=[], starargs=None, kwargs=None)","Name(id='B', ctx=Load())",0.11956521739130443
29,"arguments(args=[Name(id='ss', ctx=Param())], vararg=None, kwarg=None, defaults=[])","Name(id='ss', ctx=Param())",0.11956521739130443
30,"arguments(args=[Name(id='s', ctx=Param())], vararg=None, kwarg=None, defaults=[])","Name(id='s', ctx=Param())",0.11956521739130443
31,"Attribute(value=Name(id='line', ctx=Load()), attr='split', ctx=Load())","Name(id='line', ctx=Load())",0.11956521739130432
32,"Slice(lower=Num(n=1), upper=None, step=None)",Num(n=1),0.11956521739130432
33,"Attribute(value=Str(s=''), attr='join', ctx=Load())",Str(s=''),0.11956521739130432
34,"Call(func=Name(id='len', ctx=Load()), args=[Name(id='a', ctx=Load())], keywords=[], starargs=None, kwargs=None)","Name(id='len', ctx=Load())",0.11956521739130432
35,"Subscript(value=Name(id='s', ctx=Load()), slice=Index(value=Num(n=0)), ctx=Load())",Index(value=Num(n=0)),0.11956521739130432
36,"BinOp(left=Name(id='i', ctx=Load()), op=Add(), right=Num(n=1))",Add(),0.11956521739130432
37,"Name(id='min', ctx=Load())",Load(),0.11956521739130432
38,"BinOp(left=Name(id='n', ctx=Load()), op=Add(), right=Num(n=1))",Num(n=1),0.11956521739130432
39,"Name(id='str', ctx=Load())",Load(),0.11956521739130432
