,Node1,Node2,Score
0,"Name(id='open', ctx=Load())",Load(),0.11956521739130432
1,"Attribute(value=Name(id='sys', ctx=Load()), attr='argv', ctx=Load())",Load(),0.10869565217391308
2,"Name(id='N', ctx=Store())",Store(),0.10869565217391308
3,"Name(id='f', ctx=Load())",Load(),0.10869565217391308
4,"Subscript(value=Attribute(value=Name(id='sys', ctx=Load()), attr='argv', ctx=Load()), slice=Index(value=Num(n=1)), ctx=Load())","Attribute(value=Name(id='sys', ctx=Load()), attr='argv', ctx=Load())",0.10869565217391308
5,"Call(func=Name(id='open', ctx=Load()), args=[Subscript(value=Attribute(value=Name(id='sys', ctx=Load()), attr='argv', ctx=Load()), slice=Index(value=Num(n=1)), ctx=Load())], keywords=[], starargs=None, kwargs=None)","Name(id='open', ctx=Load())",0.10869565217391308
6,"Name(id='input', ctx=Load())",Load(),0.10869565217391308
7,"Name(id='d', ctx=Load())",Load(),0.10869565217391308
8,"Call(func=Name(id='raw_input', ctx=Load()), args=[], keywords=[], starargs=None, kwargs=None)","Name(id='raw_input', ctx=Load())",0.10869565217391308
9,Index(value=Num(n=-1)),Num(n=-1),0.10869565217391308
10,"Name(id='sys', ctx=Load())",Load(),0.10869565217391308
11,"Name(id='a', ctx=Store())",Store(),0.09782608695652184
12,"Attribute(value=Name(id='sys', ctx=Load()), attr='stdin', ctx=Load())","Name(id='sys', ctx=Load())",0.09782608695652184
13,"Name(id='range', ctx=Load())",Load(),0.09782608695652184
14,"Name(id='map', ctx=Load())",Load(),0.09782608695652184
15,"Name(id='x', ctx=Store())",Store(),0.09782608695652184
16,"Name(id='int', ctx=Load())",Load(),0.09782608695652184
17,"Name(id='i', ctx=Store())",Store(),0.09782608695652184
18,"Name(id='k', ctx=Store())",Store(),0.09782608695652173
19,"Call(func=Name(id='range', ctx=Load()), args=[Name(id='T', ctx=Load())], keywords=[], starargs=None, kwargs=None)","Name(id='T', ctx=Load())",0.09782608695652173
20,"Name(id='j', ctx=Store())",Store(),0.09782608695652173
21,"Attribute(value=Name(id='f', ctx=Load()), attr='readline', ctx=Load())",Load(),0.09782608695652173
22,"Name(id='__name__', ctx=Load())",Load(),0.09782608695652173
23,"Name(id='cases', ctx=Store())",Store(),0.09782608695652173
24,"BinOp(left=Name(id='i', ctx=Load()), op=Add(), right=Num(n=1))",Num(n=1),0.09782608695652173
25,"If(test=Compare(left=Name(id='__name__', ctx=Load()), ops=[Eq()], comparators=[Str(s='__main__')]), body=[Expr(value=Call(func=Name(id='main', ctx=Load()), args=[], keywords=[], starargs=None, kwargs=None))], orelse=[])","Expr(value=Call(func=Name(id='main', ctx=Load()), args=[], keywords=[], starargs=None, kwargs=None))",0.09782608695652173
26,"BinOp(left=Name(id='T', ctx=Load()), op=Add(), right=Num(n=1))","Name(id='T', ctx=Load())",0.09782608695652173
27,"Import(names=[alias(name='sys', asname=None)])","alias(name='sys', asname=None)",0.09782608695652173
28,"Name(id='infile', ctx=Load())",Load(),0.09782608695652173
29,"Name(id='main', ctx=Load())",Load(),0.09782608695652173
