,Node1,Node2,Score
0,"Index(value=Name(id='j', ctx=Load()))","Name(id='j', ctx=Load())",0.25
1,"Subscript(value=Name(id='y', ctx=Load()), slice=Index(value=Num(n=0)), ctx=Load())",Index(value=Num(n=0)),0.25
2,"Assign(targets=[Name(id='ans', ctx=Store())], value=Num(n=0))","Name(id='ans', ctx=Store())",0.23913043478260865
3,"Call(func=Name(id='ceil', ctx=Load()), args=[Name(id='avg', ctx=Load())], keywords=[], starargs=None, kwargs=None)","Name(id='avg', ctx=Load())",0.23913043478260865
4,"AugAssign(target=Name(id='count', ctx=Store()), op=Add(), value=Num(n=1))",Num(n=1),0.22826086956521752
5,"Attribute(value=Str(s='Case #{0}: {1}\n'), attr='format', ctx=Load())",Load(),0.2282608695652174
6,"Name(id='n', ctx=Load())",Load(),0.21739130434782616
7,"Assign(targets=[Name(id='ans', ctx=Store())], value=Num(n=1))",Num(n=1),0.21739130434782616
8,"Subscript(value=Attribute(value=Name(id='sys', ctx=Load()), attr='argv', ctx=Load()), slice=Index(value=Num(n=1)), ctx=Load())",Load(),0.21739130434782616
9,"Name(id='l', ctx=Param())",Param(),0.21739130434782616
10,"Name(id='l2', ctx=Store())",Store(),0.21739130434782616
11,"Name(id='row1', ctx=Load())",Load(),0.21739130434782616
12,Return(value=Str(s='Volunteer cheated!')),Str(s='Volunteer cheated!'),0.21739130434782616
13,"Name(id='e', ctx=Load())",Load(),0.21739130434782616
14,"Index(value=Name(id='n', ctx=Load()))","Name(id='n', ctx=Load())",0.21739130434782616
15,"Name(id='f', ctx=Param())",Param(),0.21739130434782605
16,"Name(id='a', ctx=Param())",Param(),0.21739130434782605
17,"Name(id='N', ctx=Store())",Store(),0.21739130434782605
18,"BinOp(left=Name(id='cases', ctx=Load()), op=Add(), right=Num(n=1))",Add(),0.21739130434782605
19,"Name(id='arr2', ctx=Store())",Store(),0.21739130434782605
20,"Expr(value=Call(func=Attribute(value=Name(id='f', ctx=Load()), attr='readline', ctx=Load()), args=[], keywords=[], starargs=None, kwargs=None))","Call(func=Attribute(value=Name(id='f', ctx=Load()), attr='readline', ctx=Load()), args=[], keywords=[], starargs=None, kwargs=None)",0.21739130434782605
21,"Name(id='i', ctx=Store())",Store(),0.21739130434782605
22,"Name(id='int', ctx=Load())",Load(),0.2065217391304348
